City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hilo,100,US,1666232411,78,19.7297,-155.09,86.29,8.05
1,Ginir,50,ET,1666232411,93,7.1333,40.7,55.45,3.65
2,Médéa,1,DZ,1666232412,27,36.2642,2.7539,69.93,5.32
3,São Miguel do Araguaia,4,BR,1666232412,35,-13.275,-50.1628,81.07,5.79
4,Thompson,100,CA,1666232116,93,55.7435,-97.8558,33.96,3.44
5,Cape Town,20,ZA,1666232403,82,-33.9258,18.4232,62.11,1.14
6,São João da Barra,100,BR,1666232413,85,-21.6403,-41.0511,73.51,16.11
7,Koungou,0,YT,1666232414,94,-12.7336,45.2042,73.11,3.44
8,São Filipe,67,CV,1666232414,82,14.8961,-24.4956,78.58,2.71
9,Kutum,8,SD,1666232415,28,14.2,24.6667,71.85,8.75
10,Pevek,100,RU,1666232415,90,69.7008,170.3133,29.01,6.51
11,Hasaki,0,JP,1666232416,47,35.7333,140.8333,68.29,13.02
12,Abalak,100,RU,1666232416,95,58.1286,68.5944,38.19,6.29
13,Bengkulu,100,ID,1666232417,84,-3.8004,102.2655,77.29,2.3
14,Port Elizabeth,0,ZA,1666232417,81,-33.918,25.5701,71.1,28.77
15,Quixeré,8,BR,1666232418,62,-5.0742,-37.9886,78.55,10.38
16,Hermanus,16,ZA,1666232418,89,-34.4187,19.2345,58.8,11.41
17,Omsukchan,100,RU,1666232419,87,62.5333,155.8,9.88,7.85
18,Lebu,63,CL,1666232419,91,-37.6167,-73.65,50.92,5.77
19,Mataura,100,NZ,1666232420,91,-46.1927,168.8643,48.25,12.55
20,Berezovyy,99,RU,1666232420,44,51.6667,135.7,46.53,5.88
21,Kindu,98,CD,1666232421,99,-2.95,25.95,68.85,1.66
22,Half Moon Bay,40,US,1666232422,47,37.4636,-122.4286,82.17,13.8
23,Nanortalik,6,GL,1666232409,72,60.1432,-45.2371,34.25,34.14
24,Yumen,7,CN,1666232422,46,40.2833,97.2,46.76,12.37
25,Vaini,75,TO,1666232423,88,-21.2,-175.2,77.16,8.05
26,Denpasar,40,ID,1666232236,94,-8.65,115.2167,82.06,5.75
27,East London,36,ZA,1666232194,65,-33.0153,27.9116,74.68,9.26
28,Rikitea,100,PF,1666232424,70,-23.1203,-134.9692,71.19,17.76
29,Alta Floresta,35,BR,1666232424,94,-9.8756,-56.0861,70.52,4.32
